id,name,category,routeOrder
1,G4_主桁_①-1,general,1
2,G4_主桁_①-2,general,2
3,G4_主桁_①-3,extra,3
4,G4_主桁_①-4,extra,4
5,G4_主桁_①-5,extra,5
6,G4_主桁_①-6,general,6
7,G4_主桁_①-7,general,7
8,G4_主桁_②-1,general,8
9,G4_主桁_②-2,general,9
10,G4_主桁_②-3,extra,10
11,G4_主桁_②-4,extra,11
12,G4_主桁_②-5,extra,12
13,G4_主桁_②-6,general,13
14,G4_主桁_②-7,general,14
15,G3_主桁_③-1,general,15
16,G3_主桁_③-2,general,16
17,G3_主桁_③-3,extra,17
18,G3_主桁_③-4,extra,18
19,G3_主桁_③-5,extra,19
20,G3_主桁_③-6,general,20
21,G3_主桁_③-7,general,21
22,G3_主桁_④-1,general,22
23,G3_主桁_④-2,general,23
24,G3_主桁_④-3,extra,24
25,G3_主桁_④-4,extra,25
26,G3_主桁_④-5,extra,26
27,G3_主桁_④-6,general,27
28,G3_主桁_④-7,general,28
29,G3_主桁_⑤-1,general,29
30,G3_主桁_⑤-2,general,30
31,G3_主桁_⑤-3,extra,31
32,G3_主桁_⑤-4,extra,32
33,G3_主桁_⑤-5,extra,33
34,G3_主桁_⑤-6,general,34
35,G3_主桁_⑤-7,general,35
36,G2_主桁_⑥-1,general,36
37,G2_主桁_⑥-2,general,37
38,G2_主桁_⑥-3,extra,38
39,G2_主桁_⑥-4,extra,39
40,G2_主桁_⑥-5,extra,40
41,G2_主桁_⑥-6,general,41
42,G2_主桁_⑥-7,general,42
43,G2_主桁_⑦-1,general,43
44,G2_主桁_⑦-2,general,44
45,G2_主桁_⑦-3,extra,45
46,G2_主桁_⑦-4,extra,46
47,G2_主桁_⑦-5,extra,47
48,G2_主桁_⑦-6,general,48
49,G2_主桁_⑦-7,general,49
50,G1_主桁_⑧-1,general,50
51,G1_主桁_⑧-2,general,51
52,G1_主桁_⑧-3,extra,52
53,G1_主桁_⑧-4,extra,53
54,G1_主桁_⑧-5,extra,54
55,G1_主桁_⑧-6,general,55
56,G1_主桁_⑧-7,general,56
57,G1_主桁_⑨-1,general,57
58,G1_主桁_⑨-2,general,58
59,G1_主桁_⑨-3,extra,59
60,G1_主桁_⑨-4,extra,60
61,G1_主桁_⑨-5,extra,61
62,G1_主桁_⑨-6,general,62
63,G1_主桁_⑨-7,general,63
64,G1_主桁_⑩-1,general,64
65,G1_主桁_⑩-2,general,65
66,G1_主桁_⑩-3,extra,66
67,G1_主桁_⑩-4,extra,67
68,G1_主桁_⑩-5,extra,68
69,G1_主桁_⑩-6,general,69
70,G1_主桁_⑩-7,general,70
71,対傾構_◆-1,general,71
72,対傾構_◆-2,general,72
73,対傾構_◆-3,general,73
74,対傾構_◆-4,general,74
75,対傾構_◆-5,general,75
76,対傾構_◆-6,general,76
77,対傾構_◆-7,general,77
78,横構_★-1,general,78
79,横構_★-2,general,79
80,横構_★-3,general,80
81,横構_★-4,general,81
82,横構_★-5,general,82
83,横構_★-6,general,83
84,横構_★-7,general,84
85,G4_添接板_◎-1,special,85
86,G4_添接板_◎-2,special,86
87,G3_添接板_◎-3,special,87
88,G3_添接板_◎-4,special,88
89,G2_添接板_◎-5,special,89
90,G1_添接板_◎-6,special,90
